sample,time_s,measured_speed_rad_s,predicted_speed_rad_s,prediction_error_rad_s,a,b
1,0.009264200,3.126150000,3.089121000,0.037029000,0.575153000,4.381722000
2,0.020388100,3.088486000,3.112530000,-0.024044000,0.574445000,4.385312000
3,0.022776000,3.126150000,3.089759000,0.036391000,0.575327000,4.381495000
4,0.024460300,3.088486000,3.113008000,-0.024522000,0.574657000,4.384917000
5,0.026228700,3.126150000,3.090294000,0.035856000,0.575457000,4.381487000
6,0.028011800,3.088486000,3.113412000,-0.024926000,0.574820000,4.384759000
7,0.029460500,3.126150000,3.090750000,0.035400000,0.575552000,4.381652000
8,0.030857700,3.088486000,3.113757000,-0.025271000,0.574944000,4.384790000
9,0.032395400,3.126150000,3.091143000,0.035007000,0.575618000,4.381959000
10,0.034244400,3.088486000,3.114056000,-0.025570000,0.575036000,4.384977000
11,0.035574800,3.126150000,3.091485000,0.034665000,0.575661000,4.382382000
12,0.036904100,3.088486000,3.114317000,-0.025831000,0.575103000,4.385293000
13,0.038221100,3.126150000,3.091786000,0.034364000,0.575684000,4.382905000
14,0.039509100,3.088486000,3.114546000,-0.026060000,0.575148000,4.385717000
15,0.040943800,3.728782000,4.188481000,-0.459699000,0.645802000,3.645694000
16,0.042713200,4.670393000,4.413188000,0.257205000,0.623587000,3.888330000
17,0.044318900,5.160031000,5.050981000,0.109050000,0.620968000,3.927175000
18,0.046157400,5.423683000,5.364158000,0.059525000,0.621366000,3.931063000
19,0.048038900,5.574340000,5.532178000,0.042162000,0.622292000,3.927538000
20,0.049484300,5.649670000,5.629014000,0.020656000,0.622898000,3.924230000
21,0.140608300,5.762663000,5.677494000,0.085169000,0.625598000,3.908042000
22,0.146234500,5.762663000,5.754535000,0.008128000,0.625891000,3.906111000
23,0.148615100,5.837992000,5.755157000,0.082835000,0.628671000,3.887748000
24,0.150522500,5.800327000,5.808436000,-0.008109000,0.628382000,3.889751000
25,0.152889300,5.875656000,5.784187000,0.091469000,0.631247000,3.870349000
26,0.156507700,5.837992000,5.837681000,0.000311000,0.631257000,3.870275000
27,0.167615800,5.837992000,5.813926000,0.024066000,0.631971000,3.865319000
28,0.174703400,5.875656000,5.815365000,0.060291000,0.633665000,3.853548000
29,0.249624900,5.875656000,5.842650000,0.033006000,0.634612000,3.846786000
30,0.252293200,5.837992000,5.844495000,-0.006503000,0.634435000,3.848054000
31,0.254244400,5.875656000,5.820254000,0.055402000,0.635770000,3.838813000
32,0.261508500,5.875656000,5.846911000,0.028745000,0.636489000,3.833669000
33,0.289587200,5.837992000,5.848309000,-0.010317000,0.636242000,3.835438000
34,0.348176200,5.875656000,5.823864000,0.051792000,0.637334000,3.827904000
35,0.350948300,5.875656000,5.850103000,0.025553000,0.637902000,3.823833000
36,0.352631300,5.875656000,5.851203000,0.024453000,0.638426000,3.820080000
37,0.358246200,5.837992000,5.852218000,-0.014226000,0.638132000,3.822186000
38,0.382019500,5.875656000,5.827614000,0.048042000,0.639000000,3.816239000
39,0.450898900,5.875656000,5.853474000,0.022182000,0.639430000,3.813150000
40,0.453680900,5.837992000,5.854305000,-0.016313000,0.639123000,3.815350000
41,0.455355200,5.875656000,5.829640000,0.046016000,0.639874000,3.810225000
42,0.459192200,5.875656000,5.855303000,0.020353000,0.640236000,3.807626000
43,0.481543300,5.875656000,5.855999000,0.019657000,0.640575000,3.805187000
44,0.550054500,5.837992000,5.856652000,-0.018660000,0.640262000,3.807438000
45,0.554379900,5.875656000,5.831934000,0.043722000,0.640892000,3.803159000
46,0.556764500,5.875656000,5.857400000,0.018256000,0.641184000,3.801058000
47,0.567121400,5.837992000,5.857960000,-0.019968000,0.640873000,3.803298000
48,0.575557600,5.875656000,5.833225000,0.042431000,0.641436000,3.799490000
49,0.655669000,5.875656000,5.858579000,0.017077000,0.641691000,3.797654000
50,0.659287800,5.875656000,5.859066000,0.016590000,0.641933000,3.795911000
51,0.661265900,5.837992000,5.859529000,-0.021537000,0.641626000,3.798123000
52,0.667256200,5.875656000,5.834775000,0.040881000,0.642116000,3.794833000
53,0.683910400,5.875656000,5.860011000,0.015645000,0.642330000,3.793286000
54,0.700776300,5.875656000,5.860420000,0.015236000,0.642535000,3.791810000
55,0.760453500,6.289966000,6.619172000,-0.329206000,0.668785000,3.508311000
56,0.763763700,6.930261000,6.837864000,0.092397000,0.663761000,3.563622000
57,0.768418500,7.269241000,7.272756000,-0.003515000,0.663851000,3.562549000
58,0.775697800,7.419899000,7.497604000,-0.077705000,0.664675000,3.550549000
59,0.801047000,7.570557000,7.594731000,-0.024174000,0.664772000,3.548444000
60,0.869425500,7.608222000,7.694028000,-0.085806000,0.664568000,3.546598000
61,0.874152700,7.683551000,7.716128000,-0.032577000,0.664441000,3.546433000
62,0.876603400,7.683551000,7.765092000,-0.081541000,0.663874000,3.548629000
63,0.883845300,7.758879000,7.762380000,-0.003501000,0.663850000,3.548721000
64,0.900950300,7.721215000,7.812274000,-0.091059000,0.662959000,3.553968000
65,0.971878700,7.758879000,7.784328000,-0.025449000,0.662758000,3.554985000
66,0.975275600,7.758879000,7.808497000,-0.049618000,0.662295000,3.557721000
67,0.977949700,7.758879000,7.806959000,-0.048080000,0.661858000,3.560305000
68,0.985608800,7.796544000,7.805507000,-0.008963000,0.661779000,3.560775000
69,1.000415200,7.834208000,7.830169000,0.004039000,0.661820000,3.560502000
70,1.015754500,7.834208000,7.855215000,-0.021007000,0.661575000,3.562233000
71,1.093736500,7.871873000,7.854595000,0.017278000,0.661772000,3.560843000
72,1.097137800,7.834208000,7.880018000,-0.045810000,0.661188000,3.565201000
73,1.098985700,7.871873000,7.853785000,0.018088000,0.661384000,3.563821000
74,1.100787100,7.834208000,7.879192000,-0.044984000,0.660834000,3.567927000
75,1.117387800,7.871873000,7.853055000,0.018818000,0.661028000,3.566562000
76,1.223613000,7.834208000,7.878448000,-0.044240000,0.660508000,3.570446000
77,1.227199400,7.834208000,7.852395000,-0.018187000,0.660329000,3.571703000
78,1.229189100,7.871873000,7.851936000,0.019937000,0.660522000,3.570353000
79,1.230936400,7.834208000,7.877307000,-0.043099000,0.660042000,3.573947000
80,1.232780400,7.834208000,7.851369000,-0.017161000,0.659884000,3.575058000
81,1.250542600,7.871873000,7.850962000,0.020911000,0.660073000,3.573730000
82,1.266797200,7.834208000,7.876311000,-0.042103000,0.659628000,3.577080000
83,1.338595200,7.834208000,7.850472000,-0.016264000,0.659486000,3.578071000
84,1.341378900,7.871873000,7.850106000,0.021767000,0.659672000,3.576768000
85,1.343236700,7.871873000,7.875434000,-0.003561000,0.659636000,3.577040000
86,1.351115300,7.871873000,7.875354000,-0.003481000,0.659602000,3.577301000
87,1.366784900,7.834208000,7.875278000,-0.041070000,0.659201000,3.580327000
88,1.384140200,7.871873000,7.849560000,0.022313000,0.659377000,3.579103000
89,1.447759000,7.871873000,7.874856000,-0.002983000,0.659348000,3.579316000
90,1.450201100,7.871873000,7.874794000,-0.002921000,0.659321000,3.579523000
91,1.452160700,7.834208000,7.874733000,-0.040525000,0.658948000,3.582339000
92,1.461815400,7.871873000,7.849090000,0.022783000,0.659115000,3.581187000
93,1.477627700,7.871873000,7.874358000,-0.002485000,0.659092000,3.581356000
94,1.551697000,7.834208000,7.874309000,-0.040101000,0.658738000,3.584035000
95,1.554317000,7.231577000,6.594306000,0.637271000,0.726940000,2.889874000
